Player_ID,Player_Name,Weight_W,Role,Cluster_ID
1,アギラー,0.19520296,打者,1.0
2,アドゥワ誠,-1.3804821,投手,
3,アブレイユ,1.2139515,投手,
4,ウィック,-1.1660652,投手,
5,ウェンデルケン,0.25627688,投手,
6,ウォーカー,-0.38409975,打者,1.0
7,ウレーニャ,0.019511396,打者,1.0
8,エスパーダ,-0.23823772,投手,
9,エスピノーザ,1.1474508,投手,
10,オコエ瑠偉,1.3696411,打者,2.0
11,オスナ,-1.2476094,投手,
12,オースティン,0.9870359,打者,2.0
13,カイケル,0.14918587,投手,
14,カスティーヨ,-2.139346,投手,
15,カリステ,-0.86158186,打者,2.0
16,ガルシア,0.060325906,打者,1.0
17,グリフィン,-1.4082593,投手,
18,ケイ,1.1276088,投手,
19,ケムナ誠,-0.24134833,投手,
20,ケラー,-1.6566617,投手,
21,ゲラ,-0.9669944,投手,
22,コルデロ,1.1742481,投手,
23,コルニエル,0.98886085,投手,
24,ゴンザレス,1.3138194,打者,2.0
25,サイスニード,0.9936145,投手,
26,サンタナ,-0.9028168,打者,2.0
27,ザバラ,0.41447777,投手,
28,シャイナー,-0.4233423,打者,1.0
29,ジャクソン,-0.36146998,投手,
30,スチュワート・ジュニア,-0.5161718,投手,
31,スティーブンソン,0.1311083,打者,1.0
32,セデーニョ,-0.17119515,打者,1.0
33,ソト,0.15707009,打者,0.0
34,ターリー,-0.21843469,投手,
35,ダイクストラ,-0.5448788,打者,1.0
36,ダウンズ,-0.7265593,打者,2.0
37,ディアス,1.3495077,投手,
38,ディカーソン,-1.3097254,打者,1.0
39,トーマス,0.89112616,打者,1.0
40,ノイジー,-0.31209534,打者,1.0
41,ハッチ,-1.4725622,投手,
42,ハーン,-0.73215413,投手,
43,バルドナード,-0.26681578,投手,
44,バーヘイゲン,-0.65629953,投手,
45,ビシエド,1.8941362,打者,2.0
46,ビーズリー,0.13164465,投手,
47,フェリス,-0.49472705,投手,
48,フォード,0.6451631,打者,2.0
49,フランコ,-0.9724619,打者,2.0
50,ブライト健太,2.573869,打者,2.0
51,ブランドン,-0.012113404,打者,1.0
52,ヘルナンデス,0.25750363,投手,
53,ペルドモ,-0.9164652,投手,
54,ボー・タカハシ,2.4031088,投手,
55,ポランコ,-0.19270264,打者,0.0
56,ポンセ,0.16994828,投手,
57,マチャド,-0.3598007,投手,
58,マルティネス,0.71076024,投手,
59,マーフィー,0.945373,投手,
60,ミエセス,-1.5074424,打者,1.0
61,メヒア,-0.59318465,投手,
62,メルセデス,0.17516297,投手,
63,メンデス,1.3877771,投手,
64,モイネロ,1.2656233,投手,
65,モンテス,1.3085217,打者,1.0
66,ヤフーレ,0.42924803,投手,
67,ヤン,0.6380954,投手,
68,リチャード,-0.35282454,打者,2.0
69,レイエス,-1.2409856,打者,2.0
70,レイノルズ,0.08504981,打者,1.0
